NMX-A-057-INNTEX-2000	A	INDUSTRIA TEXTIL-DETERMINACION DE LA DENSIDAD O NUMERO DE HILOS POR  UNIDAD DE LONGITUD DE LOS TEJIDOS DE CALADA-METODO DE PRUEBA (CANCELA  A LA NMX-A-057-1964).	http://www.economia-nmx.gob.mx/normas/nmx/2000/seleccione.pdf	18/08/2000	Definitiva	TEJIDOSHILO	INDUSTRIA TEXTIL	NO APLICA	INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).
NMX-A-059/1-INNTEX-2008	A	INDUSTRIA TEXTIL-PROPIEDADES DE LOS TEJIDOS FRENTE A LA TRACCION-PARTE 1-DETERMINACION DE LA FUERZA MAXIMA Y DEL ALARGAMIENTO A LA FUERZA MAXIMA POR EL METODO DE LA TIRA (CANCELA A LA NMX-A-059/1-INNTEX-2000).	http://www.economia-nmx.gob.mx/normas/nmx/2009/nmx-a-059-1-inntex-2008.pdf	07/01/2009	Definitiva	TEJIDOS	INDUSTRIA TEXTIL	NO APLICA	INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).
NMX-A-059/2-INNTEX-2008	A	INDUSTRIA TEXTIL-PROPIEDADES DE LOS TEJIDOS FRENTE A LA TRACCION-PARTE 2-DETERMINACION DE LA FUERZA MAXIMA POR EL METODO DE AGARRE-METODO GRAB (CANCELA A LA NMX-A-059/2-INNTEX-2000).	http://www.economia-nmx.gob.mx/normas/nmx/2009/nmx-a-059-2-inntex-2008.pdf	07/01/2009	Definitiva	TEJIDOS	INDUSTRIA TEXTIL	NO APLICA	INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).
NMX-A-060-1994-INNTEX 	A	METODO DE PRUEBA PARA LA DETERMINACION DE LOS HILADOS - METODO DIRECTO	http://www.economia-nmx.gob.mx/normas/nmx/2000/seleccione.pdf	15/08/1996	Definitiva	TELAS	INDUSTRIA TEXTIL	NO APLICA	INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).
NMX-A-062-INNTEX-2009	A	INDUSTRIA TEXTIL-HILADOS DE PAQUETE-DETERMINACIÓN DE LA DENSIDAD LINEAL (MASA POR UNIDAD DE LONGITUD) POR EL MÉTODO DE MADEJA.	http://www.economia-nmx.gob.mx/normas/nmx/2000/seleccione.pdf	23/12/2009	Definitiva	METODO DE PRUEBA	INDUSTRIA TEXTIL	NO APLICA	INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).
NMX-A-064-INNTEX-2009	A	INDUSTRIA TEXTIL-SOLIDEZ DEL COLOR-ESCALA GRIS PARA LA EVALUACIÓN DEL CAMBIO DE COLOR. CANCELA LA NMX-A-064-INNTEX DE 2003.	http://www.economia-nmx.gob.mx/normas/nmx/2000/seleccione.pdf	23/12/2009	Definitiva	SOLIDEZ DEL COLOR	INDUSTRIA TEXTIL	NO APLICA	INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).
NMX-A-065-INNTEX-2005	A	INDUSTRIA TEXTIL-DETERMINACION DE LA SOLIDEZ DEL COLOR AL SUDOR-METODO DE PRUEBA (CANCELA A LA NMX-A-065-1995-INNTEX).	http://www.economia-nmx.gob.mx/normas/nmx/2000/seleccione.pdf	17/03/2006	Definitiva	COLOR	INDUSTRIA TEXTIL	NO APLICA	INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).
NMX-A-066-INNTEX-2009	A	INDUSTRIA TEXTIL-SOLIDEZ DEL COLOR-ESCALA GRIS PARA LA EVALUACIÓN DEL MANCHADO. CANCELA LA NMX-A-066-INNTEX DE 2003.	http://www.economia-nmx.gob.mx/normas/nmx/2000/seleccione.pdf	23/12/2009	Definitiva	SOLIDEZ DEL COLOR	INDUSTRIA TEXTIL	NO APLICA	INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).
NMX-A-067-INNTEX-2001	A	INDUSTRIA TEXTIL-SOLIDEZ DEL COLOR-DETERMINACION DEL MANCHADO POR EL  AGUA-METODO DE PRUEBA.	http://www.economia-nmx.gob.mx/normas/nmx/2000/seleccione.pdf	25/04/2001	Definitiva	COLOR	INDUSTRIA TEXTIL	NO APLICA	INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).SOCIEDAD MEXICANA DE NORMALIZACIÓN Y CERTIFICACIÓN, S. C. (NORMEX)
NMX-A-069-1990	A	DETERMINACION DE LA CARGA DE RUPTURA, TENACIDAD Y ALARGAMIENTO POR  EL METODO DE HILO INDIVIDUAL	http://www.economia-nmx.gob.mx/normas/nmx/1990/nmx-a-069-1990.pdf	09/01/1991	Definitiva	HILO	INDUSTRIA TEXTIL	CTNN DE LA INDUSTRIA TEXTIL Y DEL VESTIDO.	NO APLICA
